,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2018-01-17,279.61,0.01,1.14,50.66,0.03,1.42,0.03,1.46,13.86,-26.38,3876.21,-1336.21,2540.01,-132.41
2018-01-18,279.14,-0.0,1.14,50.46,-0.0,1.41,-0.01,1.46,13.86,-26.38,3869.7,-1330.93,2538.77,-123.1
2018-01-19,280.41,0.0,1.14,51.09,0.01,1.43,0.01,1.48,14.14,-26.1,3964.98,-1333.4,2631.58,-35.22
2018-01-22,282.69,0.01,1.15,52.35,0.02,1.47,0.02,1.51,14.14,-26.1,3997.21,-1366.28,2630.93,-101.63
2018-01-23,283.29,0.0,1.15,52.7,0.01,1.48,0.01,1.52,14.14,-26.1,4005.7,-1375.42,2630.28,-120.55
2018-01-24,283.18,-0.0,1.15,52.62,-0.0,1.47,-0.0,1.52,14.14,-26.1,4004.14,-1373.33,2630.81,-115.84
2018-01-25,283.3,0.0,1.15,52.69,0.0,1.48,0.0,1.52,14.14,-26.1,4005.84,-1375.16,2630.68,-119.63
2018-01-26,286.58,0.01,1.17,54.48,0.03,1.53,0.03,1.58,14.51,-25.73,4158.92,-1401.59,2757.33,-45.85
2018-01-29,284.68,-0.01,1.16,53.41,-0.02,1.5,-0.02,1.54,14.51,-25.73,4131.35,-1374.06,2757.28,9.16
2018-01-30,281.76,-0.01,1.15,51.71,-0.03,1.45,-0.03,1.5,14.51,-25.73,4088.97,-1330.33,2758.64,97.99
2018-01-31,281.9,0.0,1.15,51.84,0.0,1.45,0.0,1.5,14.51,-25.73,4091.0,-1333.67,2757.33,89.99
2018-02-01,281.58,-0.0,1.15,51.63,-0.0,1.45,-0.0,1.49,14.51,-25.73,4086.36,-1328.27,2758.09,101.55
